Year,Address of the list of panel members (date is included in the address - should be preferably around October each year),Comment,Website type
24/10/2022,https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/,,1
5/10/2021,https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/,,1
21/10/2020,https://wayback.webarchiv.cz/wayback/20201021170931/https://gacr.cz/o-ga-cr/poradni-organy/panely/,,1
31/10/2019,https://wayback.webarchiv.cz/wayback/20191031160653/https://gacr.cz/o-ga-cr/poradni-organy/panely/,,1
2018,,when i select an october date from webarchieve it directs me to 23.11.2015,
2017,https://web.archive.org/web/20170923132653/https://gacr.cz/o-ga-cr/poradni-organy/panely/,,
2016,,when i select an october date from webarchieve it directs me to 23.11.2015,
21/10/2015,https://wayback.webarchiv.cz/wayback/20150921140247/http://gacr.cz/poradni-organy/panely/,,
19/12/2014,https://wayback.webarchiv.cz/wayback/20141219001009/http://www.gacr.cz/poradni-organy/oborove-komise/,,"seems not working, alternative here https://web.archive.org/web/20141011213244/http://www.gacr.cz/poradni-organy/oborove-komise/"
16/09/2013,https://wayback.webarchiv.cz/wayback/20130916172115/http://www.gacr.cz/wp-content/uploads/2011/10/paneliste_OK1_2013_2015_po_volbe.pdf,technicke vedy,
16/09/2013,https://wayback.webarchiv.cz/wayback/20130916172118/http://www.gacr.cz/wp-content/uploads/2011/10/paneliste_OK2_2013_2015_po-volbe_1.pdf,vedy o nezive prirode,
16/09/2013,https://wayback.webarchiv.cz/wayback/20130916170916/http://www.gacr.cz/wp-content/uploads/2011/10/paneliste_OK3_2013_2015_po_volbe2.pdf,lekarske a biologicke vedy,
16/09/2013,https://wayback.webarchiv.cz/wayback/20130916170916/http://www.gacr.cz/wp-content/uploads/2011/10/paneliste_OK4_2013_2015_po_volbe.pdf,spolecenske a humanitni vedy,
16/09/2013,https://wayback.webarchiv.cz/wayback/20130916170916/http://www.gacr.cz/wp-content/uploads/2011/10/paneliste_OK5_2013_2015_po_volbe21.pdf,biologicke-enviromentalni vedy,
2012,,stranky nebyli dostupne 26.11.2022 v asi 1 hodinu a.m.,
8/9/2011,https://wayback.webarchiv.cz/wayback/20110908155447/http://www.gacr.cz/struct-02comm.htm,i managed to find only page with names of chairmen of disciplinary committees,
22/10/2010,https://wayback.webarchiv.cz/wayback/20101022130418/http://marmolata.gacr.cas.cz/?p=191,technicke vedy,
22/10/2010,https://wayback.webarchiv.cz/wayback/20101022130418/http://marmolata.gacr.cas.cz/?p=192,vedy o nezive prirode,
22/10/2010,https://wayback.webarchiv.cz/wayback/20101022130418/http://marmolata.gacr.cas.cz/?p=193,lekarske a biologicke vedy,
22/10/2010,https://wayback.webarchiv.cz/wayback/20101022130418/http://marmolata.gacr.cas.cz/?p=194,spolecenske a humanitni vedy,
22/10/2010,https://wayback.webarchiv.cz/wayback/20101022130418/http://marmolata.gacr.cas.cz/?p=195,biologicke-enviromentalni vedy,
29/10/2009,https://wayback.webarchiv.cz/wayback/20091029132059/http://pala.gacr.cas.cz/wordpress/?p=191,technicke vedy,
,https://wayback.webarchiv.cz/wayback/20091029132059/http://pala.gacr.cas.cz/wordpress/?p=192,vedy o nezive prirode,
,https://wayback.webarchiv.cz/wayback/20091029132059/http://pala.gacr.cas.cz/wordpress/?p=193,lekarske a biologicke vedy,
,https://wayback.webarchiv.cz/wayback/20091029132059/http://pala.gacr.cas.cz/wordpress/?p=194,spolecenske a humanitni vedy,
,https://wayback.webarchiv.cz/wayback/20091029132059/http://pala.gacr.cas.cz/wordpress/?p=195,zemledelske a biologicke-enviromentalni vedy,
200829/11/2008,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=185, technicke vedy oborova komise,
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=186,pridodni vedy oborova komise,
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=187,lekarske vedy oborova komise,
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=188,spolecenske vedy oborova komise,
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=189,zemledelske vedy oborova komise,
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=191,technicke vedy podoborova komise,partial sucess
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=192,pridodni vedy podoborova komise,parced/parlty parced
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=193,lekarske vedy podoborova komise,?
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=194,spolecenske vedy podoborova komise,parced
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=195,zemledelske vedy podoborova komise,parced
7/10/2007,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=185, technicke vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=186,pridodni vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=187,lekarske vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=188,spolecenske vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=189,zemledelske vedy oborova komise,"parced, lackes table"
7/10/2007,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=191,technicke vedy podoborova komise,"parced, lackes table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=192,pridodni vedy podoborova komise,"parced, lackes table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=193,lekarske vedy podoborova komise,"parced, lackes table + partial sucess (more info in log) eventually parced normally"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=194,spolecenske vedy podoborova komise,"parced, lackes table + partial sucess (more info in log), eventually parced normally"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=195,zemledelske vedy podoborova komise,"parced, lacked table"
2006,,,
