"panel_code","panel_name","panelist","affiliation","year","data_category"
101,"Strojírenství","Doc. Ing. Tomáš Dlouhý"," České vysoké učení technické v Praze - Fakulta strojní ","2008","branch"
101,"Strojírenství","Prof. RNDr. Zdeněk Knésl"," Ústav fyziky materiálů AV ČR","2008","branch"
101,"Strojírenství","Prof. Ing. Jan Skalla"," Technická univerzita v Liberci - Fakulta strojní ","2008","branch"
101,"Strojírenství","Doc. Ing. Jaroslav Zapoměl"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta strojní ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof.Ing. Zdeňka Benešová"," Západočeská univerzita v Plzni - Fakulta elektrotechnická ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof. Dr. Ing. Miroslav Pokorný"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta elektrotechniky a informatiky ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof. Ing. Václav Přenosil"," Masarykova univerzita - Fakulta informatiky ","2008","branch"
102,"Elektrotechnika a kybernetika","Doc.Ing. Pavel Václavek"," Vysoké učení technické v Brně - Fakulta elektrotechniky a komunikačních technologií ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof. Ing. Jan Vrba"," České vysoké učení technické v Praze - Fakulta elektrotechnická ","2008","branch"
103,"Stavebnictví, architektura a doprava","Prof. Ing. Milena Císlerová"," České vysoké učení technické v Praze - Fakulta stavební ","2008","branch"
103,"Stavebnictví, architektura a doprava","Prof. Ing. Josef Jíra"," České vysoké učení technické v Praze - Fakulta dopravní ","2008","branch"
103,"Stavebnictví, architektura a doprava","Ing. Jiří Náprstek"," Ústav teoretické a aplikované mechaniky AV ČR","2008","branch"
103,"Stavebnictví, architektura a doprava","Doc. Ing. Vlastimil Stara"," Vysoké učení technické v Brně - Fakulta stavební ","2008","branch"
103,"Stavebnictví, architektura a doprava","Doc. Ing. Petr Škapa"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta strojní ","2008","branch"
104,"Technická chemie","Prof. Ing. Jiří Čejka"," Ústav fyzikální chemie J. Heyrovského AV ČR","2008","branch"
104,"Technická chemie","Prof. Ing. Libor Červený"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie ","2008","branch"
104,"Technická chemie","Prof. Ing. Petr Mikulášek"," Univerzita Pardubice - Fakulta chemicko-technologická ","2008","branch"
104,"Technická chemie","Doc. Ing. Michal Veselý"," Vysoké učení technické v Brně - Fakulta chemická ","2008","branch"
105,"Hornictví","Prof. Ing. Jaroslav Dvořáček"," Vysoká škola báňská - Technická univerzita Ostrava - Hornicko-geologická fakulta ","2008","branch"
105,"Hornictví","Dr. Ing. Petr Welser"," Ostravsko-karvinské doly","2008","branch"
106,"Hutnictví a materiálové inženýrství","Doc. Ing. Jiří Burša"," Vysoké učení technické v Brně - Fakulta strojního inženýrství ","2008","branch"
106,"Hutnictví a materiálové inženýrství","Prof. Ing. František Černý"," České vysoké učení technické v Praze - Fakulta strojní ","2008","branch"
NA,NA,"Prof. Ing. Jana Dobrovská"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství","2008","branch"
106,"Hutnictví a materiálové inženýrství","Doc.Ing. Karel Matocha"," Materiálový a metalurgický výzkum","2008","branch"
106,"Hutnictví a materiálové inženýrství","Prof. RNDr. Jaroslav Polák"," Ústav fyziky materiálů AV ČR","2008","branch"
201,"Matematika a informatika","Prof. RNDr. Jana Jurečková"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta ","2008","branch"
201,"Matematika a informatika","Prof. RNDr. Antonín Kučera"," Masarykova univerzita - Fakulta informatiky ","2008","branch"
201,"Matematika a informatika","Prof. RNDr. Peter Vojtáš"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta ","2008","branch"
202,"Fyzika","RNDr. Pavol Mikula"," Ústav jaderné fyziky AV ČR","2008","branch"
202,"Fyzika","Ing. Pavel Novák"," Fyzikální ústav AV ČR","2008","branch"
202,"Fyzika","Prof. Ing. Stanislav Pekárek"," České vysoké učení technické v Praze - Fakulta elektrotechnická ","2008","branch"
202,"Fyzika","Prof. RNDr. Mojmír Šob"," Masarykova univerzita - Přírodovědecká fakulta ","2008","branch"
202,"Fyzika","RNDr. Alice Valkárová"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta ","2008","branch"
203,"Chemie","Prof. RNDr. Karel Lemr"," Univerzita Palackého v Olomouci - Přírodovědecká fakulta ","2008","branch"
203,"Chemie","Prof. RNDr. Věra Pacáková"," Univerzita Karlova v Praze - Přírodovědecká fakulta ","2008","branch"
203,"Chemie","Ing. Michal Pechar"," Ústav makromolekulární chemie AV ČR","2008","branch"
203,"Chemie","Prof. RNDr. Milan Potáček"," Masarykova univerzita - Přírodovědecká fakulta ","2008","branch"
203,"Chemie","Ing. Zdeněk Sobalík"," Ústav fyzikální chemie J. Heyrovského AV ČR","2008","branch"
204,"Buněčná a molekulární biologie","MUDr. Zdeněk Hodný"," Ústav molekulární genetiky AV ČR","2008","branch"
204,"Buněčná a molekulární biologie","RNDr. Vladimír Kořínek"," Ústav molekulární genetiky AV ČR","2008","branch"
204,"Buněčná a molekulární biologie","RNDr. Jiří Novotný"," Univerzita Karlova v Praze - Přírodovědecká fakulta ","2008","branch"
205,"Vědy o Zemi a vesmíru","Mgr. Petr Pravec"," Astronomický ústav AV ČR","2008","branch"
205,"Vědy o Zemi a vesmíru","Doc. RNDr. Daniela Řezáčová"," Ústav fyziky atmosféry AV ČR","2008","branch"
205,"Vědy o Zemi a vesmíru","RNDr. Jan Šafanda"," Geofyzikální ústav AV ČR","2008","branch"
205,"Vědy o Zemi a vesmíru","Prof. RNDr. Jana Šafránková"," Univerzita Karlova v Praze - Matematicko-fyzikální fakulta ","2008","branch"
205,"Vědy o Zemi a vesmíru","RNDr. Karel Žák"," Geologický ústav AV ČR","2008","branch"
206,"Obecná a ekologická biologie","Prof. RNDr. Petr Horák"," Univerzita Karlova v Praze - Přírodovědecká fakulta ","2008","branch"
206,"Obecná a ekologická biologie","Prof. RNDr. Václav Hypša"," Jihočeská univerzita v Českých Budějovicích - Přírodovědecká fakulta ","2008","branch"
206,"Obecná a ekologická biologie","Doc. RNDr. Miloš Macholán"," Ústav živočišné fyziologie a genetiky AV ČR","2008","branch"
206,"Obecná a ekologická biologie","RNDr. Vladimír Uvíra"," Univerzita Palackého v Olomouci - Přírodovědecká fakulta ","2008","branch"
301,"Molekulární biologie, genetika, experimentální onkologie","RNDr. Běla Bendlová"," Endokrinologický ústav ","2008","branch"
301,"Molekulární biologie, genetika, experimentální onkologie","Prof. MUDr. Milan Macek jr."," Univerzita Karlova v Praze - 2. lékařská fakulta ","2008","branch"
301,"Molekulární biologie, genetika, experimentální onkologie","Prof. RNDr. Emil Paleček"," Biofyzikální ústav AV ČR","2008","branch"
301,"Molekulární biologie, genetika, experimentální onkologie","RNDr. Bořivoj Vojtěšek"," Masarykův onkologický ústav ","2008","branch"
303,"Biochemie, metabolismus a výživa","Prof.MUDr. Jan Borovanský"," Univerzita Karlova v Praze - 1. lékařská fakulta ","2008","branch"
303,"Biochemie, metabolismus a výživa","RNDr. Ivan Votruba"," Ústav organické chemie a biochemie AV ČR","2008","branch"
304,"Morfologické obory a experimentální chirurgie","Prof. MUDr. Jaroslav Mokrý"," Univerzita Karlova v Praze - Lékařská fakulta v Hradci Králové ","2008","branch"
304,"Morfologické obory a experimentální chirurgie","RNDr. Tomáš Soukup"," Fyziologický ústav AV ČR","2008","branch"
305,"Fyziologické obory, farmakologie, toxikologie","Prof. RNDr. Pavel Anzenbacher"," Univerzita Palackého v Olomouci - Lékařská fakulta ","2008","branch"
305,"Fyziologické obory, farmakologie, toxikologie","Doc. MUDr. Zuzana Červinková"," Univerzita Karlova v Praze - Lékařská fakulta v Hradci Králové ","2008","branch"
305,"Fyziologické obory, farmakologie, toxikologie","MUDr. Vladimír Doležal"," Fyziologický ústav AV ČR","2008","branch"
305,"Fyziologické obory, farmakologie, toxikologie","Doc. MUDr. Milan Holeček"," Univerzita Karlova v Praze - Lékařská fakulta v Hradci Králové ","2008","branch"
305,"Fyziologické obory, farmakologie, toxikologie","Prof. MUDr. Jiří Kassa"," Ministerstvo obrany - Univerzita obrany ","2008","branch"
309,"Neurovědy","MUDr. Ladislav Vyklický jr."," Fyziologický ústav AV ČR","2008","branch"
310,"Mikrobiologie, imunologie, epidemiologie a hygiena","Prof. MUDr. Jiřina Bartůňková"," Univerzita Karlova v Praze - 2. lékařská fakulta ","2008","branch"
310,"Mikrobiologie, imunologie, epidemiologie a hygiena","Doc. MUDr. Marie Černá"," Univerzita Karlova v Praze - 3. lékařská fakulta ","2008","branch"
310,"Mikrobiologie, imunologie, epidemiologie a hygiena","Ing. Jan Topinka"," Ústav experimentální medicíny AV ČR","2008","branch"
401,"Filosofie, teologie a religionistika","Prof. ThDr. Jan Blahoslav Lášek"," Univerzita Karlova v Praze - Husitská teologická fakulta ","2008","branch"
401,"Filosofie, teologie a religionistika","Doc.PhDr. Milan Mráz"," Filosofický ústav AV ČR","2008","branch"
402,"Ekonomické vědy","Prof. RNDr. Anna Čermáková"," Jihočeská univerzita v Českých Budějovicích - Ekonomická fakulta ","2008","branch"
402,"Ekonomické vědy","Doc.Ing. Martin Macháček"," Vysoká škola báňská - Technická univerzita Ostrava - Ekonomická fakulta ","2008","branch"
402,"Ekonomické vědy","Prof. Ing. Petr Musílek"," Vysoká škola ekonomická v Praze - Fakulta financí a účetnictví ","2008","branch"
403,"Sociologie","Doc.PhDr. Ladislav Cabada"," Západočeská univerzita v Plzni - Fakulta filozofická ","2008","branch"
403,"Sociologie","Mgr. Dan Ryšavý"," Univerzita Palackého v Olomouci - Filozofická fakulta ","2008","branch"
403,"Sociologie","PhDr. Marek Skovajsa"," Univerzita Karlova v Praze - Fakulta humanitních studií ","2008","branch"
404,"Historické vědy, národopis","Doc. PhDr. Ivana Čornejová"," Univerzita Karlova v Praze - Ústav dějin Univerzity Karlovy a Archiv Univerzity Karlovy ","2008","branch"
404,"Historické vědy, národopis","PhDr. Robert Šimůnek"," Historický ústav AV ČR","2008","branch"
404,"Historické vědy, národopis","Prof.PhDr. Petr Vorel"," Východočeské muzeum v Pardubicích ","2008","branch"
405,"Lingvistika a literární vědy","Doc.PaedDr. Michal Bauer"," Jihočeská univerzita v Českých Budějovicích - Filozofická fakulta ","2008","branch"
405,"Lingvistika a literární vědy","Doc. PhDr. Vlasta Hlavičková"," Vysoká škola ekonomická v Praze - Fakulta mezinárodních vztahů ","2008","branch"
405,"Lingvistika a literární vědy","PhDr. Václav Petrbok"," Ústav pro českou literaturu AV ČR","2008","branch"
405,"Lingvistika a literární vědy","Prof.PhDr. Jana Svobodová"," Ostravská univerzita v Ostravě - Pedagogická fakulta ","2008","branch"
406,"Psychologie, pedagogika","PhDr. Ilona Gillernová"," Univerzita Karlova v Praze - Filozofická fakulta ","2008","branch"
406,"Psychologie, pedagogika","Doc.PhDr. Vladimír Kebza"," Státní zdravotní ústav ","2008","branch"
406,"Psychologie, pedagogika","Prof. PhDr. Vlastimil Švec"," Univerzita Tomáše Bati ve Zlíně - Fakulta humanitních studií ","2008","branch"
407,"Právní vědy, politologie","Doc. PhDr. Jan Holzer"," Masarykova univerzita - Fakulta sociálních studií ","2008","branch"
407,"Právní vědy, politologie","Prof. JUDr. Monika Pauknerová"," Ústav státu a práva AV ČR","2008","branch"
408,"Estetika, hudební věda a vědy o umění","Prof. PhDr. Leoš Faltus"," Janáčkova akademie múzických umění v Brně - Hudební fakulta ","2008","branch"
408,"Estetika, hudební věda a vědy o umění","Mgr. Ondřej Jakubec"," státní příspěvková organizace ","2008","branch"
408,"Estetika, hudební věda a vědy o umění","PhDr. Taťána Petrasová"," Ústav dějin umění AV ČR","2008","branch"
409,"Dějiny 19. a 20. století","Doc. PhDr. Jiří Knapík"," Slezská univerzita v Opavě - Filozoficko-přírodovědecká fakulta ","2008","branch"
409,"Dějiny 19. a 20. století","PaedDr. Mgr. Miroslav Vaněk"," Ústav pro soudobé dějiny AV ČR","2008","branch"
521,"Rostlinná produkce, genetika a šlechtění","Doc. RNDr. Jiří Fajkus"," Biofyzikální ústav AV ČR","2008","branch"
521,"Rostlinná produkce, genetika a šlechtění","RNDr. Martin Fellner"," Univerzita Palackého v Olomouci - Přírodovědecká fakulta ","2008","branch"
521,"Rostlinná produkce, genetika a šlechtění","Ing. Karel Klem"," Agrotest fyto","2008","branch"
522,"Rostlinolékařství, fyziologie rostlin","RNDr. David Honys"," Ústav experimentální botaniky AV ČR","2008","branch"
522,"Rostlinolékařství, fyziologie rostlin","Doc. RNDr. Dalibor Kodrík"," v.v.i. - Entomologický ústav ","2008","branch"
522,"Rostlinolékařství, fyziologie rostlin","Prof. RNDr. Olga Valentová"," Vysoká škola chemicko-technologická v Praze - Fakulta potravinářské a biochemické technologie ","2008","branch"
523,"Živočišná produkce, genetika a šlechtění","Prof.MVDr.RNDr Petr Hořín"," Veterinární a farmaceutická univerzita Brno - Fakulta veterinárního lékařství ","2008","branch"
523,"Živočišná produkce, genetika a šlechtění","Prof. Ing. Otomar Linhart"," Jihočeská univerzita v Českých Budějovicích - Výzkumný ústav rybářský a hydrobiologický ","2008","branch"
523,"Živočišná produkce, genetika a šlechtění","RNDr. Marek Šinkora"," Mikrobiologický ústav AV ČR","2008","branch"
524,"Fyziologie a patologie zvířat","Doc. RNDr. Antonín Lojek"," Biofyzikální ústav AV ČR","2008","branch"
524,"Fyziologie a patologie zvířat","Doc. RNDr. Ivan Rychlík"," Výzkumný ústav veterinárního lékařství","2008","branch"
524,"Fyziologie a patologie zvířat","Doc. RNDr. Lenka Skálová"," Univerzita Karlova v Praze - Farmaceutická fakulta Hradec Králové ","2008","branch"
525,"Zemědělské produkty, potravinářství a ekotoxikologie","Prof. Ing. Zdeněk Bubník"," Vysoká škola chemicko-technologická v Praze - Fakulta potravinářské a biochemické technologie ","2008","branch"
525,"Zemědělské produkty, potravinářství a ekotoxikologie","Doc. Ing. Milada Plocková"," Vysoká škola chemicko-technologická v Praze - Fakulta potravinářské a biochemické technologie ","2008","branch"
525,"Zemědělské produkty, potravinářství a ekotoxikologie","Ing. Slavomíra Vavreinová"," Výzkumný ústav potravinářský Praha","2008","branch"
526,"Péče o krajinu, lesy, půda","RNDr. Petr Baldrian"," Mikrobiologický ústav AV ČR","2008","branch"
526,"Péče o krajinu, lesy, půda","Doc. Ing. Emil Cienciala"," IFER - Ústav pro výzkum lesních ekosystémů","2008","branch"
526,"Péče o krajinu, lesy, půda","Doc. RNDr. Martin Rulík"," Univerzita Palackého v Olomouci - Přírodovědecká fakulta ","2008","branch"
